# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.044000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	3.706933e-03	2.118597e-02	1.470929e-04	3.780480e-03	-3.633387e-03
1             	2.844458e+00	1.190002e+01	2.615041e+00	4.151979e+00	-1.536938e+00
2             	3.087934e+00	1.275216e+01	3.000319e+00	4.588094e+00	-1.587774e+00
3             	1.517783e+00	6.226688e+00	1.548785e+00	2.292176e+00	-7.433907e-01
4             	-3.510640e-01	-1.391896e+00	-2.798332e-01	-4.909806e-01	2.111474e-01
5             	-1.371980e+00	-5.509808e+00	-1.323725e+00	-2.033842e+00	7.101179e-01
6             	-1.312506e+00	-5.195432e+00	-1.292017e+00	-1.958515e+00	6.664976e-01
7             	-5.019178e-01	-1.986099e+00	-4.956128e-01	-7.497242e-01	2.541113e-01
8             	3.469131e-01	1.370122e+00	3.457575e-01	5.197919e-01	-1.740344e-01
9             	7.481958e-01	2.971143e+00	7.393117e-01	1.117852e+00	-3.785400e-01
10            	6.434060e-01	2.553532e+00	6.170409e-01	9.519265e-01	-3.348855e-01
11            	2.134371e-01	9.163629e-01	1.724913e-01	2.996827e-01	-1.271914e-01
12            	-2.002625e-01	-6.761387e-01	-2.298429e-01	-3.151840e-01	8.534107e-02
13            	-3.699021e-01	-1.357179e+00	-3.704223e-01	-5.551132e-01	1.846909e-01
14            	-2.824681e-01	-1.043141e+00	-2.554947e-01	-4.102154e-01	1.547207e-01
15            	-4.568839e-02	-1.804494e-01	-6.939757e-03	-4.915827e-02	4.221851e-02
16            	1.509501e-01	5.581080e-01	1.842273e-01	2.430637e-01	-5.883639e-02
17            	2.107317e-01	8.055374e-01	2.273751e-01	3.244193e-01	-9.704417e-02
18            	1.540025e-01	6.118778e-01	1.511453e-01	2.295751e-01	-7.842983e-02
19            	3.191358e-02	1.885066e-01	1.934937e-02	4.158827e-02	-2.223890e-02
20            	-5.897833e-02	-1.415601e-01	-6.732839e-02	-9.264252e-02	2.531414e-02
21            	-8.423892e-02	-2.456543e-01	-7.591135e-02	-1.221946e-01	4.628324e-02
22            	-5.199374e-02	-1.429854e-01	-2.606753e-02	-6.502751e-02	3.895998e-02
23            	6.859843e-03	5.016814e-02	4.455367e-02	2.913668e-02	1.541699e-02
24            	5.309562e-02	2.047594e-01	9.110496e-02	9.864810e-02	-7.543140e-03
25            	6.685836e-02	2.547556e-01	9.593208e-02	1.148244e-01	-1.889232e-02
26            	5.097486e-02	2.068679e-01	7.028462e-02	8.611717e-02	-1.583255e-02
27            	2.176073e-02	1.173839e-01	3.529438e-02	3.940792e-02	-4.113545e-03
28            	-3.185483e-03	4.079847e-02	1.230761e-02	2.968322e-03	9.339287e-03
29            	-1.118099e-02	1.289152e-02	1.268247e-02	-4.839755e-03	1.752223e-02
30            	-3.373598e-03	3.377055e-02	2.891196e-02	1.108238e-02	1.782958e-02
31            	1.150931e-02	7.447987e-02	5.017799e-02	3.659830e-02	1.357969e-02
32            	2.479788e-02	1.104761e-01	6.554649e-02	5.757113e-02	7.975360e-03
33            	2.929913e-02	1.234745e-01	6.813287e-02	6.336556e-02	4.767307e-03
34            	2.535368e-02	1.142826e-01	6.095285e-02	5.583010e-02	5.122749e-03
35            	1.753444e-02	9.465326e-02	5.106753e-02	4.306820e-02	7.999330e-03
36            	1.081493e-02	7.719115e-02	4.479699e-02	3.321343e-02	1.158357e-02
37            	8.425712e-03	6.989267e-02	4.520909e-02	3.103025e-02	1.417883e-02
38            	1.017173e-02	7.275004e-02	5.051192e-02	3.542769e-02	1.508423e-02
39            	1.384726e-02	8.053069e-02	5.719587e-02	4.244520e-02	1.475067e-02
40            	1.685338e-02	8.750317e-02	6.167707e-02	4.769191e-02	1.398515e-02
41            	1.787893e-02	9.061197e-02	6.265184e-02	4.920485e-02	1.344699e-02
42            	1.685458e-02	8.898122e-02	6.094158e-02	4.732537e-02	1.361621e-02
43            	1.495118e-02	8.520517e-02	5.852497e-02	4.421366e-02	1.431131e-02
44            	1.321503e-02	8.141367e-02	5.695785e-02	4.169396e-02	1.526389e-02
45            	1.245732e-02	7.923215e-02	5.718863e-02	4.105163e-02	1.613700e-02
46            	1.269742e-02	7.910411e-02	5.879843e-02	4.209663e-02	1.670179e-02
47            	1.339257e-02	7.999983e-02	6.082355e-02	4.380434e-02	1.701921e-02
48            	1.403176e-02	8.101342e-02	6.244829e-02	4.525590e-02	1.719239e-02
49            	1.424349e-02	8.151489e-02	6.311710e-02	4.580205e-02	1.731506e-02
50            	1.399162e-02	8.122269e-02	6.295851e-02	4.547088e-02	1.748764e-02
51            	1.355814e-02	8.047717e-02	6.258117e-02	4.484873e-02	1.773244e-02
52            	1.318194e-02	7.971414e-02	6.241665e-02	4.439027e-02	1.802639e-02
53            	1.305309e-02	7.929423e-02	6.249059e-02	4.429839e-02	1.819220e-02
54            	1.291586e-02	7.863690e-02	6.316246e-02	4.449710e-02	1.866537e-02
55            	1.290808e-02	7.818671e-02	6.388781e-02	4.485199e-02	1.903583e-02
56            	1.291923e-02	7.798236e-02	6.404456e-02	4.494151e-02	1.910305e-02
